Storm_ID,Name,Year,Date,Lat,Lon,Wind_Knots,Pressure_mb,R34_NE,R34_SE,R34_SW,R34_NW,R64_NE,R64_SE,R64_SW,R64_NW
AL042010,COLIN,2010,2010-08-04,17.0,-57.2,35,1009,120,0,0,60,0,0,0,0
AL042010,COLIN,2010,2010-08-04,18.0,-59.5,35,1009,150,0,0,45,0,0,0,0
AL042010,COLIN,2010,2010-08-04,19.2,-61.1,40,1009,120,0,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-05,20.4,-62.5,40,1009,120,0,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-05,21.7,-63.7,40,1009,120,0,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-05,23.0,-64.9,40,1008,90,0,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-05,24.4,-65.8,45,1007,90,60,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-05,25.0,-66.1,50,1005,90,60,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-06,25.6,-66.6,50,1006,90,60,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-06,26.4,-67.2,40,1007,90,90,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-06,27.0,-67.1,40,1007,90,90,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-06,27.7,-66.9,40,1008,90,90,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-07,28.5,-66.6,40,1008,90,90,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-07,28.9,-66.4,35,1009,90,90,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-07,29.1,-66.2,35,1010,90,90,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-07,29.3,-65.9,35,1012,90,90,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-08,29.7,-65.7,30,1012,0,0,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-08,30.3,-65.7,30,1013,0,0,0,0,0,0,0,0
AL072010,EARL,2010,2010-08-24,12.4,-19.3,25,1009,0,0,0,0,0,0,0,0
AL072010,EARL,2010,2010-08-24,12.8,-20.9,25,1009,0,0,0,0,0,0,0,0
AL072010,EARL,2010,2010-08-24,13.2,-22.6,30,1008,0,0,0,0,0,0,0,0
AL072010,EARL,2010,2010-08-24,13.6,-24.3,30,1008,0,0,0,0,0,0,0,0
AL072010,EARL,2010,2010-08-25,13.9,-26.0,30,1008,0,0,0,0,0,0,0,0
AL072010,EARL,2010,2010-08-25,14.1,-27.8,30,1007,0,0,0,0,0,0,0,0
AL072010,EARL,2010,2010-08-25,14.3,-29.7,35,1006,50,30,0,50,0,0,0,0
AL072010,EARL,2010,2010-08-25,14.5,-31.5,35,1006,50,30,0,50,0,0,0,0
AL072010,EARL,2010,2010-08-26,14.7,-33.0,35,1006,50,30,0,50,0,0,0,0
AL072010,EARL,2010,2010-08-26,14.9,-34.5,40,1004,50,30,0,50,0,0,0,0
AL072010,EARL,2010,2010-08-26,15.1,-36.0,40,1004,75,50,0,75,0,0,0,0
AL072010,EARL,2010,2010-08-26,15.3,-37.7,40,1004,75,50,0,75,0,0,0,0
AL072010,EARL,2010,2010-08-27,15.5,-39.4,40,1004,75,60,0,75,0,0,0,0
AL072010,EARL,2010,2010-08-27,15.7,-41.2,40,1004,75,60,30,75,0,0,0,0
AL072010,EARL,2010,2010-08-27,15.8,-43.1,40,1004,75,60,30,75,0,0,0,0
AL072010,EARL,2010,2010-08-27,15.9,-45.0,40,1004,100,80,50,100,0,0,0,0
AL072010,EARL,2010,2010-08-28,16.0,-47.0,45,1000,100,80,50,100,0,0,0,0
AL072010,EARL,2010,2010-08-28,16.1,-49.0,50,996,100,80,50,100,0,0,0,0
AL072010,EARL,2010,2010-08-28,16.2,-51.0,50,996,100,80,60,100,0,0,0,0
AL072010,EARL,2010,2010-08-28,16.3,-53.0,50,996,100,80,60,100,0,0,0,0
AL072010,EARL,2010,2010-08-29,16.5,-54.8,55,991,120,100,80,100,0,0,0,0
AL072010,EARL,2010,2010-08-29,16.7,-56.5,55,991,130,100,80,100,0,0,0,0
AL072010,EARL,2010,2010-08-29,17.0,-58.0,65,985,130,100,80,100,30,20,0,20
AL072010,EARL,2010,2010-08-29,17.3,-59.3,75,978,150,120,90,120,40,30,0,20
AL072010,EARL,2010,2010-08-30,17.7,-60.6,85,971,150,120,100,120,40,30,20,30
AL072010,EARL,2010,2010-08-30,18.1,-61.9,95,967,150,120,100,120,50,40,30,30
AL072010,EARL,2010,2010-08-30,18.5,-63.1,105,965,170,140,120,150,50,40,30,40
AL072010,EARL,2010,2010-08-30,19.0,-64.2,115,954,170,150,120,150,60,50,30,40
AL072010,EARL,2010,2010-08-31,19.6,-65.3,115,938,180,150,120,150,60,50,30,40
AL072010,EARL,2010,2010-08-31,20.2,-66.4,115,931,180,150,120,170,60,50,30,50
AL072010,EARL,2010,2010-08-31,20.9,-67.5,115,935,180,150,120,170,70,60,30,50
AL072010,EARL,2010,2010-08-31,21.6,-68.4,115,940,200,180,120,200,80,60,40,60
AL072010,EARL,2010,2010-09-01,22.5,-69.4,110,940,200,180,120,200,80,70,40,60
AL072010,EARL,2010,2010-09-01,23.6,-70.5,105,941,220,180,120,220,80,70,40,60
AL072010,EARL,2010,2010-09-01,24.7,-71.6,110,942,220,180,120,220,80,70,40,60
AL072010,EARL,2010,2010-09-01,25.9,-72.7,115,941,220,180,120,220,80,70,40,60
AL072010,EARL,2010,2010-09-02,27.2,-73.5,120,932,200,180,120,200,80,70,40,60
AL072010,EARL,2010,2010-09-02,28.6,-74.3,125,927,200,180,120,180,80,70,40,60
AL072010,EARL,2010,2010-09-02,30.1,-74.8,115,935,200,180,120,180,80,70,40,50
AL072010,EARL,2010,2010-09-02,31.7,-75.1,100,943,180,180,120,150,70,60,40,40
AL072010,EARL,2010,2010-09-03,33.0,-74.9,90,949,180,180,120,150,70,60,50,40
AL072010,EARL,2010,2010-09-03,34.5,-74.2,85,955,180,180,150,150,60,60,50,40
AL072010,EARL,2010,2010-09-03,36.1,-73.4,75,959,180,180,150,150,60,60,50,40
AL072010,EARL,2010,2010-09-03,37.6,-72.2,70,960,180,180,150,120,60,60,60,30
AL072010,EARL,2010,2010-09-04,39.1,-70.6,60,961,180,180,150,120,0,0,0,0
AL072010,EARL,2010,2010-09-04,40.7,-68.4,60,961,180,180,150,110,0,0,0,0
AL072010,EARL,2010,2010-09-04,43.0,-65.7,65,961,180,180,150,110,0,60,0,0
AL072010,EARL,2010,2010-09-04,44.3,-64.5,65,962,180,180,150,110,0,60,0,0
AL072010,EARL,2010,2010-09-04,45.5,-63.2,65,965,180,200,150,90,0,60,0,0
AL072010,EARL,2010,2010-09-04,46.0,-62.7,60,967,180,200,150,90,0,0,0,0
AL072010,EARL,2010,2010-09-05,48.4,-60.2,55,971,200,220,120,90,0,0,0,0
AL072010,EARL,2010,2010-09-05,50.6,-57.5,50,978,240,240,90,90,0,0,0,0
AL072010,EARL,2010,2010-09-05,52.4,-55.4,45,987,240,240,90,90,0,0,0,0
AL072010,EARL,2010,2010-09-05,54.0,-54.1,40,992,240,220,90,90,0,0,0,0
AL072010,EARL,2010,2010-09-06,55.7,-53.5,35,994,240,180,90,90,0,0,0,0
AL082010,FIONA,2010,2010-08-30,14.0,-41.8,25,1007,0,0,0,0,0,0,0,0
AL082010,FIONA,2010,2010-08-30,14.1,-43.8,30,1007,0,0,0,0,0,0,0,0
AL082010,FIONA,2010,2010-08-30,14.4,-45.7,30,1007,0,0,0,0,0,0,0,0
AL082010,FIONA,2010,2010-08-30,14.9,-47.7,35,1007,105,0,0,0,0,0,0,0
AL082010,FIONA,2010,2010-08-31,15.5,-50.0,35,1007,90,0,0,0,0,0,0,0
AL082010,FIONA,2010,2010-08-31,15.9,-52.5,35,1006,90,0,0,0,0,0,0,0
AL082010,FIONA,2010,2010-08-31,16.1,-54.8,35,1006,90,0,0,0,0,0,0,0
AL082010,FIONA,2010,2010-08-31,16.3,-56.9,40,1006,90,90,0,45,0,0,0,0
AL082010,FIONA,2010,2010-09-01,16.6,-58.5,45,1004,90,90,0,45,0,0,0,0
AL082010,FIONA,2010,2010-09-01,17.2,-59.8,50,1001,90,120,0,45,0,0,0,0
AL082010,FIONA,2010,2010-09-01,18.2,-61.0,50,998,90,120,0,60,0,0,0,0
AL082010,FIONA,2010,2010-09-01,19.5,-62.5,55,999,90,120,0,60,0,0,0,0
AL082010,FIONA,2010,2010-09-02,21.0,-63.8,50,1000,90,120,0,0,0,0,0,0
AL082010,FIONA,2010,2010-09-02,22.3,-64.9,45,1001,105,105,0,0,0,0,0,0
AL082010,FIONA,2010,2010-09-02,23.6,-65.9,45,1002,105,105,0,0,0,0,0,0
AL082010,FIONA,2010,2010-09-02,25.0,-66.6,45,1003,90,90,0,0,0,0,0,0
AL082010,FIONA,2010,2010-09-03,26.3,-67.0,40,1005,75,90,0,0,0,0,0,0
AL082010,FIONA,2010,2010-09-03,27.5,-67.0,40,1007,75,90,0,0,0,0,0,0
AL082010,FIONA,2010,2010-09-03,28.5,-66.7,35,1010,60,60,0,0,0,0,0,0
AL082010,FIONA,2010,2010-09-03,29.6,-66.0,35,1011,60,60,0,0,0,0,0,0
AL082010,FIONA,2010,2010-09-04,30.7,-65.0,35,1011,45,45,0,0,0,0,0,0
AL082010,FIONA,2010,2010-09-04,31.8,-63.9,30,1011,0,0,0,0,0,0,0,0
AL082010,FIONA,2010,2010-09-04,32.9,-62.9,25,1011,0,0,0,0,0,0,0,0
AL082010,FIONA,2010,2010-09-04,34.1,-62.0,25,1011,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-01,12.2,-32.2,25,1008,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-01,12.4,-33.6,30,1007,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-01,12.7,-35.0,35,1005,0,0,0,35,0,0,0,0
AL092010,GASTON,2010,2010-09-01,12.9,-36.1,35,1005,0,0,0,35,0,0,0,0
AL092010,GASTON,2010,2010-09-02,13.1,-37.2,30,1006,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-02,13.2,-38.0,30,1007,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-02,13.3,-38.8,30,1008,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-02,13.5,-39.5,25,1009,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-03,13.8,-40.1,25,1009,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-03,14.1,-40.6,25,1009,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-03,14.5,-41.3,25,1009,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-03,15.0,-42.0,25,1008,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-04,15.4,-43.0,25,1008,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-04,15.9,-44.2,30,1008,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-04,16.3,-45.5,30,1008,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-04,16.5,-46.6,30,1008,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-05,16.7,-47.7,25,1009,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-05,16.8,-48.8,25,1009,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-05,16.9,-50.0,30,1008,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-05,17.0,-51.2,30,1008,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-06,17.1,-52.6,30,1008,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-06,17.3,-54.0,30,1009,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-06,17.4,-55.5,30,1009,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-06,17.5,-57.2,25,1010,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-07,17.4,-59.0,25,1010,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-07,17.1,-60.8,25,1010,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-07,16.8,-62.7,25,1010,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-07,16.8,-64.6,25,1010,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-08,17.0,-66.3,25,1010,0,0,0,0,0,0,0,0
AL092010,GASTON,2010,2010-09-08,17.4,-67.7,25,1010,0,0,0,0,0,0,0,0
AL112010,IGOR,2010,2010-09-08,14.0,-22.7,30,1006,0,0,0,0,0,0,0,0
AL112010,IGOR,2010,2010-09-08,13.8,-23.3,40,1005,0,45,45,30,0,0,0,0
AL112010,IGOR,2010,2010-09-08,13.8,-23.7,40,1005,0,45,45,30,0,0,0,0
AL112010,IGOR,2010,2010-09-09,13.8,-24.1,40,1005,0,45,45,30,0,0,0,0
AL112010,IGOR,2010,2010-09-09,13.9,-24.8,35,1005,0,45,45,30,0,0,0,0
AL112010,IGOR,2010,2010-09-09,14.2,-25.5,30,1006,0,0,0,0,0,0,0,0
AL112010,IGOR,2010,2010-09-09,14.7,-26.4,30,1006,0,0,0,0,0,0,0,0
AL112010,IGOR,2010,2010-09-10,15.4,-27.5,30,1004,0,0,0,0,0,0,0,0
AL112010,IGOR,2010,2010-09-10,15.9,-28.7,30,1004,0,0,0,0,0,0,0,0
AL112010,IGOR,2010,2010-09-10,16.3,-30.4,35,1004,0,0,30,30,0,0,0,0
AL112010,IGOR,2010,2010-09-10,16.6,-32.5,40,1002,0,0,40,40,0,0,0,0
AL112010,IGOR,2010,2010-09-11,16.9,-34.8,50,999,0,0,40,40,0,0,0,0
AL112010,IGOR,2010,2010-09-11,17.1,-37.0,60,995,40,40,40,40,0,0,0,0
AL112010,IGOR,2010,2010-09-11,17.3,-38.7,60,995,100,60,60,100,0,0,0,0
AL112010,IGOR,2010,2010-09-11,17.4,-40.4,60,995,100,60,60,100,0,0,0,0
AL112010,IGOR,2010,2010-09-12,17.6,-42.0,65,987,100,60,60,100,15,0,0,15
AL112010,IGOR,2010,2010-09-12,17.7,-43.5,70,985,100,60,60,100,15,0,0,15
AL112010,IGOR,2010,2010-09-12,17.7,-44.9,90,970,120,80,80,120,30,15,15,20
AL112010,IGOR,2010,2010-09-12,17.7,-46.1,115,948,140,110,90,130,30,30,15,30
AL112010,IGOR,2010,2010-09-13,17.7,-47.3,130,935,140,110,90,130,30,30,15,30
AL112010,IGOR,2010,2010-09-13,17.6,-48.3,130,935,150,140,90,130,30,30,15,30
AL112010,IGOR,2010,2010-09-13,17.6,-49.3,130,933,150,140,100,130,45,30,30,45
AL112010,IGOR,2010,2010-09-13,17.6,-50.2,125,937,180,140,110,140,45,30,30,45
AL112010,IGOR,2010,2010-09-14,17.7,-50.9,125,937,180,140,110,140,45,30,30,45
AL112010,IGOR,2010,2010-09-14,17.9,-51.5,115,945,180,140,110,140,45,30,30,45
AL112010,IGOR,2010,2010-09-14,18.2,-52.1,115,945,180,140,110,140,45,30,30,45
AL112010,IGOR,2010,2010-09-14,18.6,-52.8,125,933,210,150,130,160,45,30,30,45
AL112010,IGOR,2010,2010-09-15,18.9,-53.5,135,924,210,150,130,160,45,30,30,45
AL112010,IGOR,2010,2010-09-15,19.2,-54.1,125,935,210,150,130,160,45,30,30,45
AL112010,IGOR,2010,2010-09-15,19.5,-54.7,115,945,210,150,130,160,45,30,30,45
AL112010,IGOR,2010,2010-09-15,19.8,-55.3,115,942,210,175,140,175,45,45,30,45
AL112010,IGOR,2010,2010-09-16,20.1,-56.0,120,936,240,210,180,210,60,45,45,60
AL112010,IGOR,2010,2010-09-16,20.4,-56.5,125,929,240,210,180,210,60,45,45,60
AL112010,IGOR,2010,2010-09-16,20.8,-57.1,120,934,240,210,180,210,60,45,45,60
AL112010,IGOR,2010,2010-09-16,21.4,-57.8,115,940,250,210,180,225,90,60,45,75
AL112010,IGOR,2010,2010-09-17,21.8,-58.4,115,935,250,210,180,225,90,60,45,75
AL112010,IGOR,2010,2010-09-17,22.2,-59.1,110,935,250,210,180,240,90,60,45,75
AL112010,IGOR,2010,2010-09-17,22.8,-59.9,100,945,250,210,180,240,90,60,45,75
AL112010,IGOR,2010,2010-09-17,23.5,-60.7,90,947,300,210,200,240,90,60,45,75
AL112010,IGOR,2010,2010-09-18,24.2,-61.6,90,947,300,210,200,240,90,60,45,75
AL112010,IGOR,2010,2010-09-18,24.9,-62.5,85,939,300,210,200,240,90,60,45,75
AL112010,IGOR,2010,2010-09-18,25.7,-63.3,85,939,300,210,200,240,90,60,45,75
AL112010,IGOR,2010,2010-09-18,26.6,-64.0,80,945,300,225,200,240,80,50,45,75
AL112010,IGOR,2010,2010-09-19,27.5,-64.6,80,945,300,225,200,240,80,45,45,75
AL112010,IGOR,2010,2010-09-19,28.4,-65.2,75,949,300,225,200,260,75,45,60,75
AL112010,IGOR,2010,2010-09-19,29.6,-65.6,75,949,300,250,200,300,75,45,60,75
AL112010,IGOR,2010,2010-09-19,30.8,-65.9,70,952,300,250,200,300,75,60,60,75
AL112010,IGOR,2010,2010-09-20,31.9,-65.7,65,953,300,250,200,300,75,60,75,75
AL112010,IGOR,2010,2010-09-20,33.2,-65.2,65,957,350,300,250,300,75,50,75,75
AL112010,IGOR,2010,2010-09-20,35.1,-64.2,65,960,350,300,250,300,75,50,75,75
AL112010,IGOR,2010,2010-09-20,37.2,-62.6,65,960,350,300,250,300,75,45,60,75
AL112010,IGOR,2010,2010-09-21,39.0,-60.4,65,960,400,350,300,350,75,45,60,75
AL112010,IGOR,2010,2010-09-21,41.5,-57.0,65,960,400,350,300,350,75,45,60,75
AL112010,IGOR,2010,2010-09-21,44.8,-54.4,65,955,400,350,350,350,75,45,60,75
AL112010,IGOR,2010,2010-09-21,46.6,-53.2,75,950,400,350,350,350,75,45,60,75
AL112010,IGOR,2010,2010-09-21,48.5,-52.1,75,950,450,400,350,400,0,75,75,75
AL112010,IGOR,2010,2010-09-22,51.5,-50.5,75,950,450,400,350,400,0,75,75,75
AL112010,IGOR,2010,2010-09-22,53.5,-49.5,70,950,450,400,350,400,0,75,75,75
AL112010,IGOR,2010,2010-09-22,55.5,-49.4,70,950,450,400,350,400,0,75,75,75
AL112010,IGOR,2010,2010-09-22,57.0,-50.0,65,955,450,400,350,400,0,75,75,75
AL112010,IGOR,2010,2010-09-23,58.5,-51.0,60,960,450,400,350,400,0,0,0,0
AL132010,KARL,2010,2010-09-13,16.3,-78.5,25,1005,0,0,0,0,0,0,0,0
AL132010,KARL,2010,2010-09-14,16.6,-79.8,25,1004,0,0,0,0,0,0,0,0
AL132010,KARL,2010,2010-09-14,17.0,-81.1,25,1003,0,0,0,0,0,0,0,0
AL132010,KARL,2010,2010-09-14,17.6,-82.3,30,1003,0,0,0,0,0,0,0,0
AL132010,KARL,2010,2010-09-14,18.1,-83.6,35,1001,10,10,0,0,0,0,0,0
AL132010,KARL,2010,2010-09-15,18.3,-85.0,40,999,25,15,0,15,0,0,0,0
AL132010,KARL,2010,2010-09-15,18.3,-86.2,55,997,40,30,30,40,0,0,0,0
AL132010,KARL,2010,2010-09-15,18.5,-87.6,55,991,45,30,30,45,0,0,0,0
AL132010,KARL,2010,2010-09-15,18.5,-87.8,55,991,45,30,30,45,0,0,0,0
AL132010,KARL,2010,2010-09-15,18.8,-88.8,45,994,35,20,20,35,0,0,0,0
AL132010,KARL,2010,2010-09-16,19.2,-90.1,40,997,0,0,50,50,0,0,0,0
AL132010,KARL,2010,2010-09-16,19.4,-91.1,45,994,15,15,60,50,0,0,0,0
AL132010,KARL,2010,2010-09-16,19.6,-92.2,55,986,45,50,60,50,0,0,0,0
AL132010,KARL,2010,2010-09-16,19.6,-93.3,70,982,60,50,50,60,10,0,0,10
AL132010,KARL,2010,2010-09-17,19.7,-94.1,85,971,90,50,50,75,15,0,0,10
AL132010,KARL,2010,2010-09-17,19.7,-94.9,95,966,90,70,70,90,20,15,15,20
AL132010,KARL,2010,2010-09-17,19.6,-95.6,110,956,80,70,70,80,20,15,15,20
AL132010,KARL,2010,2010-09-17,19.4,-96.0,110,970,80,70,70,80,20,15,15,20
AL132010,KARL,2010,2010-09-17,19.3,-96.2,100,976,80,70,70,80,20,15,15,20
AL132010,KARL,2010,2010-09-17,19.2,-96.4,90,979,80,70,50,80,20,15,10,20
AL132010,KARL,2010,2010-09-18,18.7,-97.1,60,995,30,30,30,30,0,0,0,0
AL132010,KARL,2010,2010-09-18,18.6,-97.4,25,1005,0,0,0,0,0,0,0,0
AL152010,MATTHEW,2010,2010-09-23,13.7,-74.8,30,1008,0,0,0,0,0,0,0,0
AL152010,MATTHEW,2010,2010-09-23,13.9,-76.2,35,1007,90,0,0,0,0,0,0,0
AL152010,MATTHEW,2010,2010-09-24,14.0,-77.7,40,1005,75,0,0,40,0,0,0,0
AL152010,MATTHEW,2010,2010-09-24,14.0,-79.3,45,1003,75,0,0,40,0,0,0,0
AL152010,MATTHEW,2010,2010-09-24,14.2,-81.1,45,1001,105,0,0,75,0,0,0,0
AL152010,MATTHEW,2010,2010-09-24,14.6,-83.0,50,998,150,30,0,120,0,0,0,0
AL152010,MATTHEW,2010,2010-09-24,14.7,-83.3,50,998,150,30,0,120,0,0,0,0
AL152010,MATTHEW,2010,2010-09-25,15.2,-84.6,50,998,150,75,0,120,0,0,0,0
AL152010,MATTHEW,2010,2010-09-25,15.8,-86.1,45,998,150,0,0,120,0,0,0,0
AL152010,MATTHEW,2010,2010-09-25,16.3,-87.7,35,1000,120,0,0,30,0,0,0,0
AL152010,MATTHEW,2010,2010-09-25,16.5,-88.4,35,1000,120,0,0,30,0,0,0,0
AL152010,MATTHEW,2010,2010-09-25,16.7,-89.4,30,1000,0,0,0,0,0,0,0,0
